Generated by http://statistics.gov.scot,2018-02-05T08:34:32+00:00
http://statistics.gov.scot/data/average-household-size,Average Household Size
measure type,Ratio
Measure (cell values): ,Ratio(People Per Household)

,,http://reference.data.gov.uk/id/year/2001,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014,http://reference.data.gov.uk/id/year/2015,http://reference.data.gov.uk/id/year/2016
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,2.27,2.25,2.23,2.22,2.21,2.2,2.19,2.18,2.18,2.18,2.19,2.18,2.18,2.17,2.17,2.16
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2.13,2.1,2.08,2.05,2.04,2.02,2.01,2.01,2.03,2.05,2.07,2.08,2.08,2.09,2.1,2.07
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,2.47,2.45,2.44,2.42,2.41,2.41,2.41,2.4,2.4,2.39,2.39,2.39,2.38,2.38,2.37,2.35
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,2.27,2.26,2.24,2.24,2.24,2.23,2.23,2.23,2.21,2.21,2.22,2.2,2.19,2.19,2.17,2.16
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,2.24,2.23,2.2,2.19,2.16,2.17,2.17,2.15,2.15,2.13,2.14,2.09,2.09,2.09,2.06,2.06
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,2.14,2.11,2.09,2.07,2.06,2.05,2.04,2.03,2.04,2.05,2.07,2.08,2.08,2.08,2.1,2.11
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,2.29,2.28,2.25,2.25,2.24,2.22,2.23,2.23,2.21,2.21,2.22,2.2,2.19,2.16,2.16,2.15
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,2.28,2.27,2.25,2.24,2.23,2.22,2.22,2.21,2.2,2.2,2.2,2.18,2.16,2.15,2.14,2.13
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,2.13,2.1,2.09,2.07,2.08,2.08,2.05,2.04,2.03,2.04,2.05,2.06,2.06,2.05,2.06,2.05
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,2.35,2.34,2.32,2.31,2.31,2.29,2.28,2.26,2.25,2.25,2.25,2.24,2.22,2.22,2.21,2.21
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,2.53,2.51,2.5,2.48,2.46,2.44,2.43,2.42,2.41,2.41,2.4,2.4,2.39,2.38,2.36,2.36
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,2.33,2.33,2.32,2.31,2.3,2.29,2.29,2.29,2.29,2.28,2.28,2.28,2.28,2.28,2.28,2.28
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,2.53,2.53,2.51,2.49,2.48,2.47,2.46,2.45,2.44,2.43,2.42,2.41,2.41,2.41,2.41,2.42
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,2.29,2.27,2.25,2.24,2.25,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.22,2.22
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,2.28,2.27,2.26,2.25,2.24,2.24,2.23,2.22,2.21,2.21,2.22,2.21,2.21,2.19,2.19,2.19
