Generated by http://statistics.gov.scot,2018-02-05T08:39:38+00:00
http://statistics.gov.scot/data/employment,Employment
measure type,Count
Age,16 And Over
Gender,All
Measure (cell values): ,Count(People)

,,http://reference.data.gov.uk/id/quarter/2004-Q1,http://reference.data.gov.uk/id/quarter/2004-Q2,http://reference.data.gov.uk/id/quarter/2004-Q3,http://reference.data.gov.uk/id/quarter/2004-Q4,http://reference.data.gov.uk/id/quarter/2005-Q1,http://reference.data.gov.uk/id/quarter/2005-Q2,http://reference.data.gov.uk/id/quarter/2005-Q3,http://reference.data.gov.uk/id/quarter/2005-Q4,http://reference.data.gov.uk/id/quarter/2006-Q1,http://reference.data.gov.uk/id/quarter/2006-Q2,http://reference.data.gov.uk/id/quarter/2006-Q3,http://reference.data.gov.uk/id/quarter/2006-Q4,http://reference.data.gov.uk/id/quarter/2007-Q1,http://reference.data.gov.uk/id/quarter/2007-Q2,http://reference.data.gov.uk/id/quarter/2007-Q3,http://reference.data.gov.uk/id/quarter/2007-Q4,http://reference.data.gov.uk/id/quarter/2008-Q1,http://reference.data.gov.uk/id/quarter/2008-Q2,http://reference.data.gov.uk/id/quarter/2008-Q3,http://reference.data.gov.uk/id/quarter/2008-Q4,http://reference.data.gov.uk/id/quarter/2009-Q1,http://reference.data.gov.uk/id/quarter/2009-Q2,http://reference.data.gov.uk/id/quarter/2009-Q3,http://reference.data.gov.uk/id/quarter/2009-Q4,http://reference.data.gov.uk/id/quarter/2010-Q1,http://reference.data.gov.uk/id/quarter/2010-Q2,http://reference.data.gov.uk/id/quarter/2010-Q3,http://reference.data.gov.uk/id/quarter/2010-Q4,http://reference.data.gov.uk/id/quarter/2011-Q1
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,2430600,2439100,2436000,2441800,2450500,2453900,2463600,2473100,2498100,2508500,2518600,2523800,2524700,2532600,2543800,2550000,2529400,2526800,2515000,2502800,2492400,2470100,2462300,2465900,2468600,2470900,2469400,2462700,2463800
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,105300,107000,108000,107500,110000,109400,110000,113600,115100,115000,116300,114400,114000,114100,113500,114500,114600,116000,117100,117600,118700,119700,119300,118800,118600,117000,116000,116400,117500
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,119600,118800,118500,119100,120100,121000,122100,123100,124600,126700,128500,126600,127500,127200,127500,128400,127800,127800,129900,130300,129600,128800,130300,130400,131400,132200,130500,130400,130900
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,50700,51000,51100,52100,51700,52100,52900,53300,54200,53900,54800,53400,53300,53700,53500,53600,53700,54200,53300,52500,51500,51400,50800,50700,50900,50800,50500,50300,50400
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,42200,42200,41300,41700,41700,42200,42600,43200,43900,43700,44400,43500,43200,43300,43000,43500,42600,41400,40500,40700,41100,41200,40800,40400,40100,40300,40800,40300,38700
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,233000,236100,232200,238000,241100,242800,246100,242900,242700,245100,244300,246400,249300,245300,252400,254600,252800,256200,254500,251400,246800,241800,237300,240300,243200,246400,249600,252200,251100
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,21600,22100,22500,22200,22100,21700,21700,21900,22000,22700,22700,22400,22300,22200,21900,22700,22700,22200,22200,22300,22600,23600,23900,24900,25500,24800,24400,22600,21600
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,70700,70400,70500,71600,71000,71700,72000,71700,72000,70900,70300,69200,69900,70900,72200,71800,69900,69400,69500,69100,70100,69200,67300,68800,68100,66000,65100,64600,63500
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,62200,64200,66300,65100,65800,64900,64500,64600,65800,66300,66500,66800,65900,67000,66100,66600,66100,64300,65000,65500,65600,65900,66300,66500,66600,67400,68400,66500,65700
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,54000,53700,53300,52900,52600,53300,53600,53500,54800,54100,54100,55200,54900,55700,56800,56500,56400,55200,55500,54300,53100,54200,53900,55200,55000,54900,53600,53000,52600
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,53300,53500,53000,53000,53800,54300,55100,54500,54100,53800,53300,52800,51900,51500,51400,50200,50500,50000,49800,49400,49700,49700,50500,50700,49600,48800,48400,48400,49400
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,42800,43700,44400,44800,44400,44700,45000,45200,45400,45600,45000,45000,46500,46200,47000,46500,46600,47200,47600,47100,46600,46100,45400,45500,44700,45600,45200,46000,45800
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,43600,44300,43900,44000,44000,43800,43800,43500,43400,43400,43000,43500,43000,42800,42700,42800,42200,42300,41600,41400,41200,41000,41200,40300,41000,41400,41100,42800,42000
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,72200,71900,72000,71900,72100,73200,73800,73000,74400,74900,75000,76300,75100,75100,75300,75600,76000,73900,72600,72400,72400,72400,73100,74500,72900,73800,73600,72000,72000
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,175500,175400,174300,176800,175700,176500,176700,175600,175400,173500,174000,175500,175400,175200,176700,178000,175600,176800,170200,170600,171500,169900,170200,172700,172600,170900,171700,169000,168500
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,247800,248800,253600,250700,254000,248800,246800,250600,253400,257700,262300,264500,263400,269500,272500,272100,266700,265200,266000,265000,258600,256600,256400,251400,257500,259100,258900,262900,266600
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,109800,110800,110100,109000,108900,107300,107400,107300,109100,111400,111300,111200,111900,113500,114200,113700,111900,112600,113000,114400,116100,115500,114700,114900,114500,112400,113400,113400,113700
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,35500,35800,35800,36100,36200,36100,36200,37000,37200,37100,37100,36500,35700,37000,37500,38000,37600,36600,36200,34500,35000,35900,35800,36900,36600,36600,36600,35500,34900
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,40500,40800,40300,40600,39900,39900,40300,40100,40300,40000,39600,40700,40700,41600,41200,41200,41200,40400,40300,39300,39600,39200,39600,39600,38800,39100,39000,39300,39500
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,41800,41800,41800,42000,41500,41800,42700,43000,43200,43100,42200,42300,43400,43800,44400,45000,45400,45800,45100,43800,44000,44000,44500,44600,44800,44100,44100,43800,43800
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,12700,12800,12700,12900,13000,13200,13200,13300,13000,12900,13300,12800,13000,13000,12700,13000,13000,12700,12500,12400,11800,12100,11700,11200,11400,10700,11000,10800,10700
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,57600,59000,60400,60600,61000,60300,59400,59300,59800,60300,60600,61500,60500,59600,58400,59200,60400,59400,58700,57200,56500,57100,55900,55200,55500,53600,55000,54200,53400
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,147700,146900,146200,147000,147800,148700,149500,149100,152600,154200,152400,153400,153300,151300,151400,150800,149000,151600,152100,154500,156900,150800,151900,149000,147200,150500,148200,147200,147400
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,10500,10200,10300,10400,10400,10700,10800,10500,10500,10300,10200,10600,10900,10800,10700,11100,10600,10900,11000,10900,11300,11200,11000,10800,10500,10300,10300,10300,10500
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,65800,65400,65300,66400,66100,66100,66800,67100,68500,69100,69400,69800,68400,69500,70100,70600,70400,70300,71600,71000,70300,68800,67600,68500,69300,71000,71700,70800,71400
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,82100,82100,80700,80900,81200,81900,82600,83600,83900,83400,84000,82100,82000,83300,83000,83000,82600,82500,82400,80400,81000,78600,77100,78000,77000,75500,75000,74600,75800
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,53600,53600,53000,52200,52000,52400,52400,53400,54000,54000,54800,54900,55500,55800,55900,56400,55800,55300,54800,54400,53700,52200,51600,51100,51200,52300,53000,53000,52600
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,12100,11700,11800,11900,11900,11900,11900,11800,11800,12000,12000,12600,12300,12300,12500,12300,12400,12100,12200,12400,12200,12400,12300,12400,12500,12400,12700,12300,12200
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,50800,50800,49800,50500,50700,50700,50900,50800,51000,51700,52400,52300,52900,52600,51700,50900,51100,51300,51300,50600,50100,49000,49200,48300,47800,48300,47700,47400,46700
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,147500,146200,145600,144300,145100,147000,145500,147600,151800,150700,153800,156800,156600,156200,154600,154200,152200,152200,149600,149400,148500,146700,147600,149600,148100,149300,148900,147100,149300
