Generated by http://statistics.gov.scot,2018-01-24T18:16:02+00:00
http://statistics.gov.scot/data/population-estimates-historical-geographic-boundaries,Population Estimates (Historical Geographic Boundaries)
measure type,Count
Age,All
Sex,All
Measure (cell values): ,Count(People)

,,http://reference.data.gov.uk/id/year/2001,http://reference.data.gov.uk/id/year/2002,http://reference.data.gov.uk/id/year/2003,http://reference.data.gov.uk/id/year/2004,http://reference.data.gov.uk/id/year/2005,http://reference.data.gov.uk/id/year/2006,http://reference.data.gov.uk/id/year/2007,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,5064200,5066000,5068500,5084300,5110200,5133100,5170000,5202900,5231900,5262200,5299900,5313600,5327700,5347600
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,211910,210680,209280,207820,208690,209620,212460,214020,217020,219730,222460,224970,227130,228990
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,226940,228830,231250,234690,237570,241180,244390,246840,249020,251430,253650,255540,257740,260500
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,108370,108810,108710,110170,111340,112500,113540,114490,114830,115410,116200,116210,116240,116660
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,91300,91020,90930,90580,90350,90870,90790,89910,89450,88620,88930,86900,88050,87660
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,449020,447490,445290,445870,449480,452060,456040,458520,463240,469940,477940,482640,487500,492680
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,48070,48140,48140,48670,49160,49540,50600,51190,51290,51330,51500,51280,51280,51190
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,147780,147670,147860,148690,149620,149780,150370,151010,151160,151100,151410,150830,150270,149940
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,145460,144370,144070,143100,143600,143370,143700,144290,145170,146060,147200,147800,148170,148260
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,120310,119920,119860,120210,120280,120450,120950,121590,122110,122410,122690,122720,122440,122150
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105880,105860,106730
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,90180,91050,91640,92170,92730,93850,95560,97470,98340,99140,99920,100850,101360,102050
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,89410,89930,89870,89790,89880,89750,89840,89870,89980,90410,90810,91030,91500,92380
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,145270,145930,146800,148300,150130,151090,152320,153290,154210,155140,156250,156800,157140,157640
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,349770,350740,351350,353050,355450,357260,358750,360050,361410,362610,365300,366220,366910,367260
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,578710,576450,572260,569560,569240,568480,571760,576200,581620,586500,593060,595080,596550,599650
