"Reference.Area","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"Aberdeen City",2.13,2.1,2.08,2.05,2.04,2.02,2.01,2.01,2.03,2.05,2.07,2.08,2.08,2.09,2.1,2.07
"Aberdeenshire",2.47,2.45,2.44,2.42,2.41,2.41,2.41,2.4,2.4,2.39,2.39,2.39,2.38,2.38,2.37,2.35
"Angus",2.27,2.26,2.24,2.24,2.24,2.23,2.23,2.23,2.21,2.21,2.22,2.2,2.19,2.19,2.17,2.16
"Argyll and Bute",2.24,2.23,2.2,2.19,2.16,2.17,2.17,2.15,2.15,2.13,2.14,2.09,2.09,2.09,2.06,2.06
"City of Edinburgh",2.14,2.11,2.09,2.07,2.06,2.05,2.04,2.03,2.04,2.05,2.07,2.08,2.08,2.08,2.1,2.11
"Clackmannanshire",2.29,2.28,2.25,2.25,2.24,2.22,2.23,2.23,2.21,2.21,2.22,2.2,2.19,2.16,2.16,2.15
"Dumfries and Galloway",2.28,2.27,2.25,2.24,2.23,2.22,2.22,2.21,2.2,2.2,2.2,2.18,2.16,2.15,2.14,2.13
"Dundee City",2.13,2.1,2.09,2.07,2.08,2.08,2.05,2.04,2.03,2.04,2.05,2.06,2.06,2.05,2.06,2.05
"East Ayrshire",2.35,2.34,2.32,2.31,2.31,2.29,2.28,2.26,2.25,2.25,2.25,2.24,2.22,2.22,2.21,2.21
"East Dunbartonshire",2.53,2.51,2.5,2.48,2.46,2.44,2.43,2.42,2.41,2.41,2.4,2.4,2.39,2.38,2.36,2.36
"East Lothian",2.33,2.33,2.32,2.31,2.3,2.29,2.29,2.29,2.29,2.28,2.28,2.28,2.28,2.28,2.28,2.28
"East Renfrewshire",2.53,2.53,2.51,2.49,2.48,2.47,2.46,2.45,2.44,2.43,2.42,2.41,2.41,2.41,2.41,2.42
"Eilean Siar",2.32,2.31,2.29,2.29,2.29,2.27,2.25,2.23,2.22,2.2,2.17,2.13,2.09,2.08,2.06,2.05
"Falkirk",2.29,2.27,2.25,2.24,2.25,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.22,2.22
"Fife",2.28,2.27,2.26,2.25,2.24,2.24,2.23,2.22,2.21,2.21,2.22,2.21,2.21,2.19,2.19,2.19
"Glasgow City",2.08,2.07,2.04,2.01,1.99,1.98,1.98,1.98,2,2.01,2.02,2.03,2.03,2.03,2.03,2.04
"Highland",2.29,2.28,2.27,2.27,2.26,2.26,2.25,2.24,2.24,2.24,2.24,2.22,2.19,2.17,2.16,2.15
"Inverclyde",2.26,2.25,2.24,2.21,2.2,2.18,2.18,2.17,2.16,2.15,2.14,2.13,2.12,2.1,2.09,2.07
"Midlothian",2.43,2.43,2.4,2.4,2.38,2.37,2.37,2.38,2.36,2.34,2.35,2.34,2.33,2.33,2.33,2.32
"Moray",2.37,2.36,2.37,2.35,2.33,2.31,2.3,2.31,2.31,2.3,2.28,2.24,2.26,2.24,2.24,2.24
"North Ayrshire",2.29,2.27,2.26,2.25,2.24,2.22,2.22,2.21,2.19,2.19,2.19,2.18,2.16,2.15,2.13,2.12
"North Lanarkshire",2.4,2.37,2.35,2.34,2.32,2.31,2.3,2.3,2.3,2.3,2.29,2.28,2.27,2.26,2.25,2.24
"Orkney Islands",2.28,2.26,2.25,2.24,2.22,2.22,2.21,2.2,2.18,2.18,2.17,2.16,2.15,2.13,2.12,2.11
"Perth and Kinross",2.24,2.22,2.2,2.18,2.17,2.16,2.17,2.16,2.17,2.18,2.19,2.2,2.18,2.19,2.18,2.18
"Renfrewshire",2.26,2.23,2.2,2.2,2.18,2.16,2.15,2.13,2.13,2.13,2.13,2.13,2.1,2.09,2.07,2.07
"Scottish Borders",2.22,2.21,2.2,2.2,2.19,2.18,2.18,2.18,2.17,2.15,2.15,2.13,2.13,2.12,2.11,2.11
"Shetland Islands",2.38,2.37,2.35,2.35,2.34,2.32,2.32,2.31,2.31,2.31,2.31,2.28,2.27,2.27,2.25,2.24
"South Ayrshire",2.26,2.24,2.22,2.21,2.2,2.2,2.19,2.18,2.18,2.17,2.17,2.16,2.16,2.14,2.14,2.14
"South Lanarkshire",2.36,2.34,2.33,2.33,2.31,2.29,2.27,2.26,2.25,2.24,2.23,2.22,2.21,2.19,2.18,2.18
"Stirling",2.36,2.34,2.32,2.3,2.3,2.3,2.3,2.28,2.27,2.28,2.28,2.29,2.28,2.27,2.28,2.29
"West Dunbartonshire",2.27,2.27,2.25,2.24,2.21,2.19,2.18,2.16,2.16,2.14,2.14,2.13,2.12,2.1,2.09,2.09
"West Lothian",2.43,2.41,2.39,2.38,2.36,2.36,2.35,2.35,2.36,2.35,2.36,2.36,2.35,2.34,2.33,2.33
