"Reference.Area","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"Aberdeen City",1398,1356,1329.1,1346.3,1307.3,1313.8,1291.7,1259,1260.6,1329.2
"Aberdeenshire",1362,1344,1380.3,1369.6,1346.8,1356.7,1238.8,1278.4,1261.3,1411.4
"Angus",631,620,625.7,609.2,581.4,579.6,559.7,556,544,554.4
"Argyll and Bute",562,752,548.8,549.5,538.9,542.2,523.4,549.2,517.9,559.8
"City of Edinburgh",2737,2798,2776.1,2708.9,2642.2,2613.6,2493.1,2505.8,2483.2,2303.3
"Clackmannanshire",332,335,345.2,345.3,325.5,333,331.8,221,220.8,232.6
"Dumfries and Galloway",NA,NA,NA,NA,NA,NA,NA,897.9,882.4,NA
"Dundee City",899,892,863.8,832.7,811.7,801.4,766,728.6,727.8,736.2
"East Ayrshire",508,512,504.6,491.7,465.7,494.1,478.6,447,443.8,491.3
"East Dunbartonshire",413,430,433.4,390.1,367.4,378.3,384.5,346.3,346.3,366.7
"East Lothian",499,504,507.7,522.5,465.6,462.2,436.8,458.9,466.2,434.1
"East Renfrewshire",292,295,271.3,258.2,287.6,285,282,236,233.9,255.2
"Eilean Siar",156,157,156.8,151.1,151.7,156.6,159.2,155.5,155.1,162.2
"Falkirk",814,807,805.9,798.2,766.2,775.5,758.5,717.2,710.6,616
"Fife",NA,NA,NA,NA,NA,NA,NA,1649.8,1644.8,NA
"Glasgow City",3442,3405,3318.8,3369.1,2956.1,3062.4,3063.1,3097.4,3012.8,2836.4
"Highland",NA,NA,NA,NA,NA,NA,NA,1887.5,1879.95,NA
"Inverclyde",421,429,390.6,392.2,357,367.4,363.4,353.6,346.4,348.8
"Midlothian",313,353,319.6,338.9,324.1,339.4,303.8,343,348.2,371.9
"Moray",545,545,553.6,544.8,541.3,530,518.8,513.8,514.1,557.1
"North Ayrshire",931,844,837.7,849,811.7,784.1,761.6,744.7,736.8,654.8
"North Lanarkshire",1655,1683,1656.9,1567.5,1517.3,1507.1,1489.5,1417.7,1407.1,1285.6
"Orkney Islands",138,144,149.6,138.3,133.6,149.1,142,142,140,154.7
"Perth and Kinross",847,845,851.8,829.4,831.4,829.7,790.9,773,755.3,819.3
"Renfrewshire",948,957,945.9,871.1,873.9,884.7,852,835,829.2,675
"Scottish Borders",635,622,626.8,589.7,593.6,604.6,587.9,593.3,576.8,601.5
"Shetland Islands",210,207,202.9,198.5,196.6,199.1,196.2,193.5,196.5,191.3
"South Ayrshire",580,583,584.4,565,539.4,536.1,516.2,518.7,511.1,541.5
"South Lanarkshire",1564,1607,1523.7,1508,1390.4,1366.1,1344.5,1301.2,1277,1307.7
"Stirling",571,584,549.9,519.4,510.1,527.3,507.5,500.5,488.9,452.3
"West Dunbartonshire",443,465,451,409.4,409.6,404.4,396.4,339.6,349.5,346
"West Lothian",946,958,918.5,918.2,862.7,884.5,890.2,890.7,863.7,831.5
