"Reference.Area","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"Aberdeen City",106950,110750,115200,114025,116325,119125,117000,117500
"Aberdeenshire",119000,121575,126600,127650,128950,129775,131125,130900
"Angus",51225,52500,54075,53525,53425,51100,50625,50400
"Argyll and Bute",41850,42425,43875,43250,41300,40875,40375,38700
"City of Edinburgh",234825,243225,244625,250400,253725,241550,247850,251100
"Clackmannanshire",22100,21850,22450,22275,22350,23750,24325,21600
"Dumfries and Galloway",70800,71600,70600,71200,69475,68850,65950,63500
"Dundee City",64450,64950,66350,66400,65225,66075,67225,65700
"East Ayrshire",53475,53250,54550,55975,55350,54100,54125,52600
"East Dunbartonshire",53200,54425,53500,51250,49925,50150,48800,49400
"East Lothian",43925,44825,45250,46550,47125,45900,45375,45800
"East Renfrewshire",43950,43775,43325,42825,41875,40925,41575,42000
"Eilean Siar",12775,13175,13000,12925,12650,11700,10975,10700
"Falkirk",72000,73025,75150,75275,73725,73100,73075,72000
"Fife",175500,176125,174600,176325,173300,171075,171050,168500
"Glasgow City",250225,250050,259475,269375,265725,255750,259600,266600
"Highland",109925,107725,110750,113325,112975,115300,113425,113700
"Inverclyde",35800,36375,36975,37050,36225,35900,36325,34900
"Midlothian",40550,40050,40150,41175,40300,39500,39050,39500
"Moray",41850,42250,42700,44150,45025,44275,44200,43800
"North Ayrshire",59400,60000,60550,59425,58925,56175,54575,53400
"North Lanarkshire",146950,148775,153150,151700,151800,152150,148275,147400
"Orkney Islands",10350,10600,10400,10875,10850,11075,10350,10500
"Perth and Kinross",65725,66525,69200,69650,70825,68800,70700,71400
"Renfrewshire",81450,82325,83350,82825,81975,78675,75525,75800
"Scottish Borders",53100,52550,54425,55900,55075,52150,52375,52600
"Shetland Islands",11875,11875,12100,12350,12275,12325,12475,12200
"South Ayrshire",50475,50775,51850,52025,51075,49150,47800,46700
"South Lanarkshire",145900,146300,153275,155400,150850,148100,148350,149300
"Stirling",41825,41925,42350,43000,42850,41600,40500,42000
"West Dunbartonshire",41425,42050,43425,43350,41450,40450,40650,40600
"West Lothian",84100,82625,84950,86375,85575,83425,84375,83000
