"Reference.Area","year","variable","value"
"Aberdeen City","2001","household-size",2.13
"Aberdeenshire","2001","household-size",2.47
"Angus","2001","household-size",2.27
"Argyll and Bute","2001","household-size",2.24
"City of Edinburgh","2001","household-size",2.14
"Clackmannanshire","2001","household-size",2.29
"Dumfries and Galloway","2001","household-size",2.28
"Dundee City","2001","household-size",2.13
"East Ayrshire","2001","household-size",2.35
"East Dunbartonshire","2001","household-size",2.53
"East Lothian","2001","household-size",2.33
"East Renfrewshire","2001","household-size",2.53
"Eilean Siar","2001","household-size",2.32
"Falkirk","2001","household-size",2.29
"Fife","2001","household-size",2.28
"Glasgow City","2001","household-size",2.08
"Highland","2001","household-size",2.29
"Inverclyde","2001","household-size",2.26
"Midlothian","2001","household-size",2.43
"Moray","2001","household-size",2.37
"North Ayrshire","2001","household-size",2.29
"North Lanarkshire","2001","household-size",2.4
"Orkney Islands","2001","household-size",2.28
"Perth and Kinross","2001","household-size",2.24
"Renfrewshire","2001","household-size",2.26
"Scottish Borders","2001","household-size",2.22
"Shetland Islands","2001","household-size",2.38
"South Ayrshire","2001","household-size",2.26
"South Lanarkshire","2001","household-size",2.36
"Stirling","2001","household-size",2.36
"West Dunbartonshire","2001","household-size",2.27
"West Lothian","2001","household-size",2.43
"Aberdeen City","2002","household-size",2.1
"Aberdeenshire","2002","household-size",2.45
"Angus","2002","household-size",2.26
"Argyll and Bute","2002","household-size",2.23
"City of Edinburgh","2002","household-size",2.11
"Clackmannanshire","2002","household-size",2.28
"Dumfries and Galloway","2002","household-size",2.27
"Dundee City","2002","household-size",2.1
"East Ayrshire","2002","household-size",2.34
"East Dunbartonshire","2002","household-size",2.51
"East Lothian","2002","household-size",2.33
"East Renfrewshire","2002","household-size",2.53
"Eilean Siar","2002","household-size",2.31
"Falkirk","2002","household-size",2.27
"Fife","2002","household-size",2.27
"Glasgow City","2002","household-size",2.07
"Highland","2002","household-size",2.28
"Inverclyde","2002","household-size",2.25
"Midlothian","2002","household-size",2.43
"Moray","2002","household-size",2.36
"North Ayrshire","2002","household-size",2.27
"North Lanarkshire","2002","household-size",2.37
"Orkney Islands","2002","household-size",2.26
"Perth and Kinross","2002","household-size",2.22
"Renfrewshire","2002","household-size",2.23
"Scottish Borders","2002","household-size",2.21
"Shetland Islands","2002","household-size",2.37
"South Ayrshire","2002","household-size",2.24
"South Lanarkshire","2002","household-size",2.34
