"Reference.Area","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014"
"Aberdeen City",211910,210680,209280,207820,208690,209620,212460,214020,217020,219730,222460,224970,227130,228990
"Aberdeenshire",226940,228830,231250,234690,237570,241180,244390,246840,249020,251430,253650,255540,257740,260500
"Angus",108370,108810,108710,110170,111340,112500,113540,114490,114830,115410,116200,116210,116240,116660
"Argyll and Bute",77365.5,77003,77000,77011,76919,77179.5,77171,76568.5,76188,75622.5,75666,74429.5,74965,74568
"City of Edinburgh",449020,447490,445290,445870,449480,452060,456040,458520,463240,469940,477940,482640,487500,492680
"Clackmannanshire",48070,48140,48140,48670,49160,49540,50600,51190,51290,51330,51500,51280,51280,51190
"Dumfries and Galloway",147780,147670,147860,148690,149620,149780,150370,151010,151160,151100,151410,150830,150270,149940
"Dundee City",145460,144370,144070,143100,143600,143370,143700,144290,145170,146060,147200,147800,148170,148260
"East Ayrshire",120310,119920,119860,120210,120280,120450,120950,121590,122110,122410,122690,122720,122440,122150
"East Dunbartonshire",108250,107350,107000,106540,106040,105590,105050,104940,104960,104920,105000,105880,105860,106730
"East Lothian",78495.5,79323,79971,80525,81154,82259.5,83881.5,85363.5,86083,86949,87773,88602.5,89001.5,89649
"East Renfrewshire",89410,89930,89870,89790,89880,89750,89840,89870,89980,90410,90810,91030,91500,92380
"Eilean Siar",26450,26350,26430,26650,26930,27060,27210,27280,27420,27600,27690,27560,27400,27250
"Falkirk",145270,145930,146800,148300,150130,151090,152320,153290,154210,155140,156250,156800,157140,157640
"Fife",349770,350740,351350,353050,355450,357260,358750,360050,361410,362610,365300,366220,366910,367260
"Glasgow City",578710,576450,572260,569560,569240,568480,571760,576200,581620,586500,593060,595080,596550,599650
"Highland",130681.25,131004.25,131895,133306.25,135025,136516.75,138113,139415.75,140138.25,140898.25,142002.75,141610,141891,141867
"Inverclyde",84150,83730,83300,82690,82680,82320,82110,82000,81670,81510,81220,80680,80310,79860
"Midlothian",80950,80870,80280,80230,80050,80000,80370,81540,81900,82360,83450,84240,84700,86210
"Moray",80014,80706.5,81764,82182.5,82853,83482.5,84186,85593.5,85872,86348,86079,85561.5,86953.5,87312
"North Ayrshire",135820,135890,136310,136500,136690,136790,137420,137910,137830,137790,138090,137560,136920,136450
"North Lanarkshire",321180,322520,323700,325400,327140,328740,331170,333290,335160,336280,337720,337870,337730,337950
"Orkney Islands",19220,19340,19540,19830,20070,20340,20580,20740,20940,21220,21420,21530,21570,21590
"Perth and Kinross",134950,135130,135960,136900,138060,139390,141140,143130,144370,145600,146850,147740,147750,148880
"Renfrewshire",172850,172300,171560,171470,171430,171270,171860,172640,173020,173700,174700,174310,173900,174230
"Scottish Borders",106950,107530,108400,109460,110250,110860,112200,113360,113590,113690,113880,113710,113870,114030
"Shetland Islands",21960,22000,21960,22090,22250,22210,22350,22480,22790,23060,23240,23210,23200,23230
"South Ayrshire",112160,111690,111550,111840,112030,112100,112380,112610,112490,112600,112980,112910,112850,112510
"South Lanarkshire",302340,302780,303480,305670,306850,308450,310380,311320,312180,313180,313900,314360,314850,315360
"Stirling",78306,78422,78542.5,78755.5,79200.5,79709.5,79969,80142,80368.5,81142,81894.5,82394,82529.5,82822
"West Dunbartonshire",93320,93040,92470,91970,91530,91420,91370,91190,91080,90800,90610,90340,89810,89730
"West Lothian",159030,160370,161690,163540,165010,167110,169470,171380,173040,174090,175300,175990,176140,177150
