Generated by http://statistics.gov.scot,2018-02-05T08:36:06+00:00
http://statistics.gov.scot/data/business-site-counts,Business Site Counts
measure type,Count
Industry Sector,All
Number Of Employees,All
Measure (cell values): ,Count(Business Sites)

,,http://reference.data.gov.uk/id/year/2008,http://reference.data.gov.uk/id/year/2009,http://reference.data.gov.uk/id/year/2010,http://reference.data.gov.uk/id/year/2011,http://reference.data.gov.uk/id/year/2012,http://reference.data.gov.uk/id/year/2013,http://reference.data.gov.uk/id/year/2014
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2008,2009,2010,2011,2012,2013,2014
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,186210,186295,186650,185350,190510,190915,197925
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,9330,9485,9555,9805,10340,10665,11300
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,13115,13320,13570,13800,14280,14560,15055
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,4125,4125,4160,4130,4240,4235,4350
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,4640,4610,4515,4465,4570,4490,4535
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,19035,18790,18880,18850,19380,19605,20535
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,1285,1285,1270,1245,1265,1225,1290
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,7640,7565,7475,7340,7375,7260,7405
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,3985,3975,3960,3885,3990,4015,4160
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,3465,3420,3365,3325,3410,3380,3465
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,2840,2885,2915,2900,3015,2975,3135
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,2935,2995,3020,3010,3120,3205,3290
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,2345,2360,2430,2400,2535,2575,2705
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,3995,4005,4025,4015,4130,4185,4355
http://statistics.gov.scot/id/statistical-geography/S12000015,Fife,10170,10135,10185,10015,10305,10190,10560
http://statistics.gov.scot/id/statistical-geography/S12000046,Glasgow City,19770,19875,19985,19820,20335,20290,21125
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,12030,12100,12145,11990,12290,12300,12565
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,1925,1895,1865,1840,1915,1895,1950
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,2340,2320,2320,2310,2355,2380,2465
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,3605,3615,3630,3585,3640,3640,3675
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,1270,1285,1260,1210,1270,1270,1305
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,3610,3620,3560,3460,3560,3520,3690
http://statistics.gov.scot/id/statistical-geography/S12000044,North Lanarkshire,7690,7670,7640,7595,7895,7925,8345
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,1625,1590,1600,1575,1595,1570,1630
http://statistics.gov.scot/id/statistical-geography/S12000024,Perth and Kinross,6800,6760,6740,6620,6740,6700,6875
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,5030,5050,5070,4990,5080,5050,5240
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,5725,5725,5660,5550,5640,5560,5705
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,1460,1425,1440,1455,1495,1525,1560
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,4110,4095,4050,4000,4055,4000,4075
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,9190,9200,9245,9115,9360,9405,9795
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,4250,4260,4230,4225,4330,4280,4400
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,1990,1990,2005,1990,2050,2045,2135
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,4890,4865,4885,4835,4950,5005,5250
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,"","","","","","",11230
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,"","","","","","",5705
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,"","","","","","",7405
http://statistics.gov.scot/id/statistical-geography/S08000018,Fife,"","","","","","",10560
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,"","","","","","",10045
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,"","","","","","",30030
http://statistics.gov.scot/id/statistical-geography/S08000021,Greater Glasgow and Clyde,"","","","","","",36290
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,"","","","","","",17100
http://statistics.gov.scot/id/statistical-geography/S08000023,Lanarkshire,"","","","","","",18140
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,"","","","","","",31540
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,"","","","","","",1630
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,"","","","","","",1560
http://statistics.gov.scot/id/statistical-geography/S08000027,Tayside,"","","","","","",15385
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,"","","","","","",1305
http://statistics.gov.scot/id/statistical-geography/S02000401,"Abbeyhill, Meadowbank and Marionville",185,175,170,170,175,165,160
http://statistics.gov.scot/id/statistical-geography/S02000095,Aberchirder and Whitehills,225,220,225,220,220,225,215
http://statistics.gov.scot/id/statistical-geography/S02000508,Aberdour and Auchtertool,130,135,150,145,145,140,140
http://statistics.gov.scot/id/statistical-geography/S02000956,Aberuthven and Almondbank,255,260,255,265,265,265,260
http://statistics.gov.scot/id/statistical-geography/S02000054,Aboyne and South Deeside,290,295,290,305,325,320,335
http://statistics.gov.scot/id/statistical-geography/S02000937,Abronhill North,25,30,35,35,30,30,40
http://statistics.gov.scot/id/statistical-geography/S02000932,Abronhill South,45,45,40,45,50,55,55
http://statistics.gov.scot/id/statistical-geography/S02000918,Airdrie North,180,170,175,165,150,155,160
http://statistics.gov.scot/id/statistical-geography/S02000884,Allanton,105,95,100,95,105,100,115
http://statistics.gov.scot/id/statistical-geography/S02000157,Alloa North,60,55,55,50,50,45,50
http://statistics.gov.scot/id/statistical-geography/S02000153,Alloa South and East,235,260,245,235,240,230,235
http://statistics.gov.scot/id/statistical-geography/S02000154,Alloa West,110,100,100,100,110,105,110
http://statistics.gov.scot/id/statistical-geography/S02001062,Alloway and Doonfoot,150,170,175,170,175,165,170
http://statistics.gov.scot/id/statistical-geography/S02000755,Alness,150,160,170,170,175,175,195
http://statistics.gov.scot/id/statistical-geography/S02000254,Altonhill North and Onthank,15,20,25,20,20,20,25
http://statistics.gov.scot/id/statistical-geography/S02000252,"Altonhill South, Longpark and Hillhead",75,75,80,75,75,70,75
http://statistics.gov.scot/id/statistical-geography/S02000162,Alva,115,125,115,110,110,105,110
http://statistics.gov.scot/id/statistical-geography/S02000979,Alyth,120,115,115,110,115,110,115
http://statistics.gov.scot/id/statistical-geography/S02000651,Anderston,380,400,365,375,355,330,335
http://statistics.gov.scot/id/statistical-geography/S02000129,Angus Glens,260,265,270,275,280,290,295
http://statistics.gov.scot/id/statistical-geography/S02000177,Annan North,145,145,150,150,145,150,155
http://statistics.gov.scot/id/statistical-geography/S02000174,Annan South,165,170,165,165,165,165,165
http://statistics.gov.scot/id/statistical-geography/S02001076,"Annbank, Mossblown and Tarbolton - the Coalfields",180,160,190,175,175,175,185
http://statistics.gov.scot/id/statistical-geography/S02000702,Anniesland East,115,105,105,115,120,120,120
http://statistics.gov.scot/id/statistical-geography/S02000705,Anniesland West,130,145,140,130,135,135,145
http://statistics.gov.scot/id/statistical-geography/S02000565,Anstruther,170,180,175,165,170,185,195
http://statistics.gov.scot/id/statistical-geography/S02000478,Antonshill,50,45,45,45,40,45,50
http://statistics.gov.scot/id/statistical-geography/S02000114,Arbroath Cliffburn,40,40,40,40,40,40,50
http://statistics.gov.scot/id/statistical-geography/S02000112,Arbroath Harbour,340,330,340,325,335,325,325
http://statistics.gov.scot/id/statistical-geography/S02000111,Arbroath Keptie,85,85,80,85,90,100,90
http://statistics.gov.scot/id/statistical-geography/S02000113,Arbroath Kirkton,115,120,130,135,135,140,140
http://statistics.gov.scot/id/statistical-geography/S02000115,Arbroath Warddykes,65,55,60,60,70,60,55
http://statistics.gov.scot/id/statistical-geography/S02000225,Ardler and St Marys,120,125,125,120,120,130,135
http://statistics.gov.scot/id/statistical-geography/S02000849,Ardrossan Central,95,95,100,95,100,100,95
http://statistics.gov.scot/id/statistical-geography/S02000855,Ardrossan North East,35,40,40,40,40,40,50
http://statistics.gov.scot/id/statistical-geography/S02000854,Ardrossan North West,40,40,35,30,40,45,50
http://statistics.gov.scot/id/statistical-geography/S02001222,Armadale,135,150,120,115,120,125,125
http://statistics.gov.scot/id/statistical-geography/S02000832,Arran,300,295,295,285,290,270,280
http://statistics.gov.scot/id/statistical-geography/S02001095,Ashgill and Netherburn,110,100,105,110,105,95,100
http://statistics.gov.scot/id/statistical-geography/S02000026,Ashgrove,120,120,120,130,145,150,145
http://statistics.gov.scot/id/statistical-geography/S02000322,Auchenback,10,15,10,5,10,15,15
http://statistics.gov.scot/id/statistical-geography/S02000260,Auchinairn,140,140,145,140,145,135,140
http://statistics.gov.scot/id/statistical-geography/S02000238,Auchinleck,65,60,55,50,55,60,60
http://statistics.gov.scot/id/statistical-geography/S02000084,Auchnagatt,235,230,225,240,240,255,260
http://statistics.gov.scot/id/statistical-geography/S02000953,Auchterarder,185,175,165,165,165,165,170
http://statistics.gov.scot/id/statistical-geography/S02000087,Auchterless and Monquhitter,300,295,300,310,325,325,335
http://statistics.gov.scot/id/statistical-geography/S02000570,Auchtermuchty and Gateside,180,170,170,165,165,160,165
http://statistics.gov.scot/id/statistical-geography/S02001069,"Ayr North Harbour, Wallacetown and Newton South",320,310,305,290,275,265,265
http://statistics.gov.scot/id/statistical-geography/S02001067,Ayr South Harbour and Town Centre,905,880,855,845,845,835,845
http://statistics.gov.scot/id/statistical-geography/S02000340,Baberton and Juniper Green,90,90,90,90,95,100,105
http://statistics.gov.scot/id/statistical-geography/S02000723,Badenoch and Strathspey Central,290,285,280,285,295,295,305
http://statistics.gov.scot/id/statistical-geography/S02000726,Badenoch and Strathspey North,295,285,290,270,265,275,285
http://statistics.gov.scot/id/statistical-geography/S02000721,Badenoch and Strathspey South,250,260,255,240,240,240,230
http://statistics.gov.scot/id/statistical-geography/S02000618,Baillieston East,115,115,115,125,135,140,135
http://statistics.gov.scot/id/statistical-geography/S02000626,Baillieston West,30,30,35,35,30,30,30
http://statistics.gov.scot/id/statistical-geography/S02000470,Bainsford and Langlees,45,35,35,35,40,45,45
http://statistics.gov.scot/id/statistical-geography/S02000330,Balerno,160,150,155,160,180,185,195
http://statistics.gov.scot/id/statistical-geography/S02000204,Balgay,40,45,45,45,35,50,50
http://statistics.gov.scot/id/statistical-geography/S02000042,Balgownie and Donmouth East,210,210,215,220,205,200,225
http://statistics.gov.scot/id/statistical-geography/S02000041,Balgownie and Donmouth West,130,155,125,130,130,130,150
http://statistics.gov.scot/id/statistical-geography/S02000380,Balgreen and Roseburn,130,130,140,150,150,155,160
http://statistics.gov.scot/id/statistical-geography/S02000538,Ballingry,25,25,25,25,25,20,20
http://statistics.gov.scot/id/statistical-geography/S02000933,Balloch East,40,45,40,40,40,35,35
http://statistics.gov.scot/id/statistical-geography/S02000936,Balloch West,60,75,80,80,80,85,90
http://statistics.gov.scot/id/statistical-geography/S02000941,Balmalloch,60,65,60,60,65,65,70
http://statistics.gov.scot/id/statistical-geography/S02000069,Balmedie and Potterton,210,225,225,230,245,250,255
http://statistics.gov.scot/id/statistical-geography/S02000581,Balmullo and Gauldry,160,155,155,160,155,170,165
http://statistics.gov.scot/id/statistical-geography/S02000697,Balornock,20,20,15,20,20,15,20
http://statistics.gov.scot/id/statistical-geography/S02000057,Banchory,335,355,375,375,380,400,420
http://statistics.gov.scot/id/statistical-geography/S02000059,Banchory-Devenick and Findon,235,240,270,265,290,325,380
http://statistics.gov.scot/id/statistical-geography/S02000099,Banff,170,165,175,165,160,150,155
http://statistics.gov.scot/id/statistical-geography/S02001158,Bankhead South,35,35,40,35,40,40,45
http://statistics.gov.scot/id/statistical-geography/S02000445,Banknock and Haggs,85,90,90,85,85,85,85
http://statistics.gov.scot/id/statistical-geography/S02001165,Bannockburn,130,140,135,135,135,130,145
http://statistics.gov.scot/id/statistical-geography/S02000453,Bantaskin,95,105,105,110,115,105,115
http://statistics.gov.scot/id/statistical-geography/S02001079,Barassie,35,40,35,30,30,30,30
http://statistics.gov.scot/id/statistical-geography/S02000646,Barlanark,40,40,35,40,40,45,40
http://statistics.gov.scot/id/statistical-geography/S02000282,Barloch,125,135,135,130,145,130,120
http://statistics.gov.scot/id/statistical-geography/S02000687,Barmulloch,30,30,25,30,35,35,35
http://statistics.gov.scot/id/statistical-geography/S02000212,Barnhill,100,110,105,110,105,100,105
http://statistics.gov.scot/id/statistical-geography/S02000413,Barnton and Cammo,90,105,95,95,110,110,120
http://statistics.gov.scot/id/statistical-geography/S02000431,Barra and South Uist,190,195,185,175,190,185,200
http://statistics.gov.scot/id/statistical-geography/S02000074,Barrahill,250,265,260,270,295,305,320
